text,label
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story fails to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this soggy sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very disappointing indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0
"This movie is one of the only historical documents displaying the talents of so many black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone belongs to the people of this country.<br /><br />I viewed this movie recently. The sound was excellent! The movie appeared to be complete, color and clarity was fare, but good considering how old this movie is without any repairs on frames. I agree with all prior positive reviews. I do not have any negative views.<br /><br />I only would like to make one request. Please to whom it my concern, please make this movie available so all can have this historical experience.",1
"Never mind if 'National Velvet (1944)' is a bit hackneyed and occasionally unconvincing, Clarence Brown's equestrian fable is an endearing and very likable story with a good moral. After achieving modest success through her appearance in 'Lassie Come Home (1943),' young Elizabeth Taylor, age 12, landed her first leading role as Velvet Brown, a passionate schoolgirl with an obsession for horses. Though filmed in California, the story - adapted from a novel by Enid Bagnold - is set in a small township on the English countryside, and full advantage is taken of the Technicolor photography to present the vibrant and handsome landscapes of blue skies and green shrubs. Mickey Rooney takes top billing as Mi Taylor, a misguided ex-jockey with devious intentions, whose relationship with young Velvet reawakens his sense of dignity and opens a new, optimistic chapter in his life. Though he noticeably struggles in one sequence, when he must confess the traumatic experience that led to his fear of horses, Rooney is enjoyable as the surly but passionate young man who must prove his worth.<br /><br />It is perhaps a good thing that Elizabeth Taylor had those entrancing violet eyes, because her acting abilities, at this young age, were rather limited. Her more emotional sequences, in which she displays courage and integrity in the face of adversity, strike one as being rather hollow, and the touchingly-naive notion that simply ""believing"" will accomplish everything is one that has since been repeated ad nauseam by practically every unmemorable inspirational sporting film ever made. Nevertheless, Taylor is bright-eyed and enthusiastic, and she works well with Mickey Rooney, who was no stranger to being a child-star. Anne Revere plays a very important role as Velvet's mother, once a famous athlete, who not only swam the English Channel but was lovingly-trained by none other than Mi Taylor's own father. I liked that Mi was not told about this until the film's final seconds, with Mrs. Brown correctly deciding that the young man would first need to develop his own sense of decency, rather than exploiting the memory of his late father for financial gain, as he would undoubtedly have done at the film's beginning.<br /><br />The film reaches its climax at the Grand National Sweepstakes, where Velvet has, at the last moment, decided to ride her own horse, the Pi, in the world-famous competition. Under the guise of a Latvian male, she goes on, as expected, to win the race, but is later disqualified - either because she's a girl, or because she tumbled from the horse before she was allowed to dismount (what a stupid rule!). This extended race sequence is exceedingly well-done, effectively capturing the nervous tension of those nerve-racking pre-race seconds, and the confusion of the event that places us in the same position as Rooney's character, stranded behind tall spectators and waiting anxiously for somebody to provide an accurate update. It doesn't really matter that we know it's a stunt double doing most of the difficult riding - in several scenes, we can clearly see a creepy-looking man in a wig - but the positive message remains the same. I'll wager that 'National Velvet' has nurtured the imaginations of millions of young girls over the last sixty years, and it's power to inspire has decreased little with time.",1
"The 2002 version of ""The Time Machine"" is just the latest in a string of terribly disappointing Hollywood remakes that fall flat on their face despite extravagant special effects. <br /><br />What a lousy, uninspired bland story, with no imagination. Why so totally rewrite such a wonderful sci-fi classic? Are today's movie audiences too hip for the H.G. Wells writing largely as is? The 1960 George Pal version told a much more endearing story, even with clunky low-budget effects, beach-party looking Eloi, and Morlocks that looked like Smurfs on steroids.<br /><br />The 2002 version must have H.G Wells turning in his grave:<br /><br />1. The idea that the time traveler is motivated by the desire to change the past and trapped in a time paradox is an old sci-fi cliché. This totally distracts from the love affair with Mara (what happened to Weena?!) that made the 1960 version so endearing. This sets an unfortunate and distractive tone early on that makes the whole movie dour. If Guy Pearce's character was so brilliant either he or his buddy Einstein would have realized the time paradox dilemma  not have it dawn on him 800,000 yrs in the future  from a Morlock no less, Doh!! What's wrong with time-traveling just for fun & adventure & curiosity -- as embodied in the 1960 version?<br /><br />2. Only if you saw the first movie would you realize at all what Pearce was doing with the time machine when you first see it. The George Pal film carefully explains the whole weird idea of 'travel' though a 4th dimension.<br /><br />3. The director goes out of his way to make Pearce's character look geeky, a worn out old stereotype of scientists. In the 1960 version Rod Taylor was a little nerdy too (at least around Weena) but managed to be swashbuckling, playful and charming.<br /><br />4. Among the key themes of the 60's version -- abandoned in the remake -- is the idea that endless war leads to the bifurcation of humanity. Blowing up the Moon to destroy humanity is pointless -- and doesn't do much for science literacy. For over 4 billion years the Moon has suffered vastly more powerful asteroid impacts, which would make any nuclear device look like a firecracker. Yes, science fiction needs artistic license, but this is just plain dumb and meaningless.<br /><br />5. Destroying the time machine is stupid too. Apparently our time traveler invented the neutron bomb to power this thing. Blowing up the machine to kill Morlocks is sort of a cop-out 'machina ex machina' Disappointingly, Pearce never comes back to the 1800s to tell his tale to his incredulous friends, a key part of the Wells story with the irony that in a week the time travels goes into the far future and back.<br /><br />6. Having Morlocks running around in the daytime totally ruins H.G. Wells' wonderfully spooky, ghoulish portrayal of them as shadowy creatures of the night. A true cinematic opportunity lost. Also, Wells depicted the Eloi as frail and childlike. These guys in the movie looked like they could take on Morlocks, if they weren't such big baby wusses.<br /><br />7. The one smart Morlock  kind of a bleached-out Star Wars Evil Emperor -- had potential, but is so lame and aloof he tells Pearce to take his machine and go home ?! Boy, what a dramatic high point! In the book the Morlocks steal the machine because they are so fascinated by it, and fight to keep it.<br /><br />8. The goof ball hologram at the N.Y. Public Library is too much. It makes light of the idea of human cannibalism. the 1960 version simply had the ""talking rings"" that delivered a chillingly somber eulogy for humankind. Derailed evolution is serious stuff.<br /><br />Its sad the wonderful effects in this movie can never make up for a weary contrived clunker of a script. Save the cost of a ticket & popcorn and go rent the DVD when it comes out (soon no doubt), at least you can fast-forward thought the dull parts, just like our time traveler.",0
"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I think Where the Heart Is, although made to cater to the less than art savvy American audience, is masterful as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />My favorite aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not hesitate to contact me via email.",1
"Spoilers!!<br /><br />I hate this one, but it is better than the others after this, they just keep getting worse. I hope Gibson has the smarts to stay out of the next one. A lot of the same with humor, ie the toilet, kids, etc. How much farther can we watch their relationship evolve. Drugs, bad guys why South Africa! I found that unbelievable, maybe South American, some country in the Golden Triangle would have made the script better. It seems the late 80' early 90's had the blond bad guys ie Die Hard, the mighty Ducks play Ice Land Gary Busey in the last Weapon, etc. Hollywood repeats itself over. This one with a similar story has to go over the top. The attacking the police, the beach condo scene, and the fight at the end, and way over the top Gibson's girlfriend killed by the copper attack were too much. Like many part 2's, they get worse, and 3 or 4 in this series picks up speed downhill. 3/10",0
"Mad scientist Professor Tabani drinks a potion he has brewed up in his laboratory but is turned into a blood craving vampire instead.When Dr.Aqil pays a visit Tabani sees a picture of Aqil's wife Shabnam and,after turning Aqil into a vampire,heads for Shabnam to make her his bride.Aqil's brother discovers the grave of the vampire and his brother at Tabani's castle and kills his brother with a knife to free his soul.Tabani succeeds in putting the bite on Shabnam and once turned she tries to lure her young niece away.Aqil's brother races against time to put a stop to the vampire curse.""Zinda Laash"" almost put me to sleep.The plot is extremely slow but more or less follows Bram Stoker's famous novel.The suspense is completely absent as is the gore and nudity.The film is only recommended for curious horror fans that want to see the second horror film made in Pakistan(after ""Madman"" from 1964).",0
